# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2010-10-07 01:06:06 EDT       (vaww01)
#
# Data for the following site(s) are contained in this file
#    USGS 04015330 KNIFE RIVER NEAR TWO HARBORS, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04015330
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     Ice  Ice affected  
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
USGS	04015330	2003-06-25	39	A
USGS	04015330	2003-06-26	56	A
USGS	04015330	2003-06-27	47	A
USGS	04015330	2003-06-28	36	A
USGS	04015330	2003-06-29	37	A
USGS	04015330	2003-06-30	29	A
USGS	04015330	2003-07-01	22	A
USGS	04015330	2003-07-02	19	A
USGS	04015330	2003-07-03	91	A
USGS	04015330	2003-07-04	83	A
USGS	04015330	2003-07-05	49	A
USGS	04015330	2003-07-06	40	A
USGS	04015330	2003-07-07	68	A
USGS	04015330	2003-07-08	80	A
USGS	04015330	2003-07-09	49	A
USGS	04015330	2003-07-10	59	A
USGS	04015330	2003-07-11	101	A
USGS	04015330	2003-07-12	71	A
USGS	04015330	2003-07-13	48	A
USGS	04015330	2003-07-14	34	A
USGS	04015330	2003-07-15	35	A
USGS	04015330	2003-07-16	33	A
USGS	04015330	2003-07-17	29	A
USGS	04015330	2003-07-18	25	A
USGS	04015330	2003-07-19	19	A
USGS	04015330	2003-07-20	22	A
USGS	04015330	2003-07-21	24	A
USGS	04015330	2003-07-22	22	A
USGS	04015330	2003-07-23	16	A
USGS	04015330	2003-07-24	14	A
USGS	04015330	2003-07-25	12	A
USGS	04015330	2003-07-26	11	A
USGS	04015330	2003-07-27	10	A
USGS	04015330	2003-07-28	9.0	A
USGS	04015330	2003-07-29	8.6	A
USGS	04015330	2003-07-30	8.7	A
USGS	04015330	2003-07-31	8.9	A
USGS	04015330	2003-08-01	29	A
USGS	04015330	2003-08-02	29	A
USGS	04015330	2003-08-03	25	A
USGS	04015330	2003-08-04	21	A
USGS	04015330	2003-08-05	14	A
USGS	04015330	2003-08-06	12	A
USGS	04015330	2003-08-07	11	A
USGS	04015330	2003-08-08	9.7	A
USGS	04015330	2003-08-09	9.7	A
USGS	04015330	2003-08-10	10	A
USGS	04015330	2003-08-11	10	A
USGS	04015330	2003-08-12	9.1	A
USGS	04015330	2003-08-13	7.9	A
USGS	04015330	2003-08-14	7.3	A
USGS	04015330	2003-08-15	7.0	A
USGS	04015330	2003-08-16	6.4	A
USGS	04015330	2003-08-17	5.6	A
USGS	04015330	2003-08-18	5.3	A
USGS	04015330	2003-08-19	4.9	A
USGS	04015330	2003-08-20	4.7	A
USGS	04015330	2003-08-21	6.4	A
USGS	04015330	2003-08-22	11	A
USGS	04015330	2003-08-23	8.7	A
USGS	04015330	2003-08-24	9.9	A
USGS	04015330	2003-08-25	11	A
USGS	04015330	2003-08-26	25	A
USGS	04015330	2003-08-27	33	A
USGS	04015330	2003-08-28	20	A
USGS	04015330	2003-08-29	15	A
USGS	04015330	2003-08-30	12	A
USGS	04015330	2003-08-31	9.9	A
USGS	04015330	2003-09-01	8.6	A
USGS	04015330	2003-09-02	7.7	A
USGS	04015330	2003-09-03	7.2	A
USGS	04015330	2003-09-04	6.9	A
USGS	04015330	2003-09-05	6.4	A
USGS	04015330	2003-09-06	6.1	A
USGS	04015330	2003-09-07	5.7	A
USGS	04015330	2003-09-08	5.5	A
USGS	04015330	2003-09-09	5.3	A
USGS	04015330	2003-09-10	4.8	A
USGS	04015330	2003-09-11	4.9	A
USGS	04015330	2003-09-12	6.8	A
USGS	04015330	2003-09-13	11	A
USGS	04015330	2003-09-14	9.3	A
USGS	04015330	2003-09-15	7.7	A
USGS	04015330	2003-09-16	6.7	A
USGS	04015330	2003-09-17	5.7	A
USGS	04015330	2003-09-18	6.4	A
USGS	04015330	2003-09-19	46	A
USGS	04015330	2003-09-20	68	A
USGS	04015330	2003-09-21	40	A
USGS	04015330	2003-09-22	26	A
USGS	04015330	2003-09-23	19	A
USGS	04015330	2003-09-24	15	A
USGS	04015330	2003-09-25	12	A
USGS	04015330	2003-09-26	11	A
USGS	04015330	2003-09-27	11	A
USGS	04015330	2003-09-28	11	A
USGS	04015330	2003-09-29	12	A
USGS	04015330	2003-09-30	9.8	A
USGS	04015330	2003-10-01	9.4	A
USGS	04015330	2003-10-02	8.8	A
USGS	04015330	2003-10-03	8.4	A
USGS	04015330	2003-10-04	8.3	A
USGS	04015330	2003-10-05	8.3	A
USGS	04015330	2003-10-06	8.2	A
USGS	04015330	2003-10-07	8.3	A
USGS	04015330	2003-10-08	8.3	A
USGS	04015330	2003-10-09	7.9	A
USGS	04015330	2003-10-10	8.0	A
USGS	04015330	2003-10-11	9.4	A
USGS	04015330	2003-10-12	18	A
USGS	04015330	2003-10-13	21	A
USGS	04015330	2003-10-14	16	A
USGS	04015330	2003-10-15	13	A
USGS	04015330	2003-10-16	11	A
USGS	04015330	2003-10-17	11	A
USGS	04015330	2003-10-18	10	A
USGS	04015330	2003-10-19	9.9	A
USGS	04015330	2003-10-20	9.7	A
USGS	04015330	2003-10-21	9.6	A
USGS	04015330	2003-10-22	9.3	A
USGS	04015330	2003-10-23	9.1	A
USGS	04015330	2003-10-24	9.5	A
USGS	04015330	2003-10-25	9.8	A
USGS	04015330	2003-10-26	9.6	A
USGS	04015330	2003-10-27	9.7	A
USGS	04015330	2003-10-28	13	A
USGS	04015330	2003-10-29	17	A
USGS	04015330	2003-10-30	24	A
USGS	04015330	2003-10-31	48	A
USGS	04015330	2003-11-01	47	A
USGS	04015330	2003-11-02	37	A
USGS	04015330	2003-11-03	29	A
USGS	04015330	2003-11-04	26	A
USGS	04015330	2003-11-05	25	A
USGS	04015330	2003-11-06	22	Ae
USGS	04015330	2003-11-07	19	Ae
USGS	04015330	2003-11-08	17	Ae
USGS	04015330	2003-11-09	14	Ae
USGS	04015330	2003-11-10	18	Ae
USGS	04015330	2003-11-11	22	Ae
USGS	04015330	2003-11-12	28	Ae
USGS	04015330	2003-11-13	21	Ae
USGS	04015330	2003-11-14	16	Ae
USGS	04015330	2003-11-15	20	Ae
USGS	04015330	2003-11-16	26	Ae
USGS	04015330	2003-11-17	32	Ae
USGS	04015330	2003-11-18	52	Ae
USGS	04015330	2003-11-19	56	Ae
USGS	04015330	2003-11-20	49	Ae
USGS	04015330	2003-11-21	40	Ae
USGS	04015330	2003-11-22	32	Ae
USGS	04015330	2003-11-23	26	Ae
USGS	04015330	2003-11-24	21	Ae
USGS	04015330	2003-11-25	18	Ae
USGS	04015330	2003-11-26	15	Ae
USGS	04015330	2003-11-27	13	Ae
USGS	04015330	2003-11-28	12	Ae
USGS	04015330	2003-11-29	11	Ae
USGS	04015330	2003-11-30	10	Ae
USGS	04015330	2003-12-01	9.0	Ae
USGS	04015330	2003-12-02	8.4	Ae
USGS	04015330	2003-12-03	8.0	Ae
USGS	04015330	2003-12-04	7.6	Ae
USGS	04015330	2003-12-05	7.3	Ae
USGS	04015330	2003-12-06	7.0	Ae
USGS	04015330	2003-12-07	6.9	Ae
USGS	04015330	2003-12-08	6.7	Ae
USGS	04015330	2003-12-09	6.6	Ae
USGS	04015330	2003-12-10	6.5	Ae
USGS	04015330	2003-12-11	6.3	Ae
USGS	04015330	2003-12-12	6.3	Ae
USGS	04015330	2003-12-13	6.0	Ae
USGS	04015330	2003-12-14	5.5	Ae
USGS	04015330	2003-12-15	5.3	Ae
USGS	04015330	2003-12-16	5.2	Ae
USGS	04015330	2003-12-17	5.2	Ae
USGS	04015330	2003-12-18	5.2	Ae
USGS	04015330	2003-12-19	5.2	Ae
USGS	04015330	2003-12-20	5.2	Ae
USGS	04015330	2003-12-21	5.1	Ae
USGS	04015330	2003-12-22	5.0	Ae
USGS	04015330	2003-12-23	4.9	Ae
USGS	04015330	2003-12-24	4.8	Ae
USGS	04015330	2003-12-25	4.6	Ae
USGS	04015330	2003-12-26	4.4	Ae
USGS	04015330	2003-12-27	4.3	Ae
USGS	04015330	2003-12-28	4.2	Ae
USGS	04015330	2003-12-29	4.1	Ae
USGS	04015330	2003-12-30	4.0	Ae
USGS	04015330	2003-12-31	3.9	Ae
USGS	04015330	2004-01-01	3.8	Ae
USGS	04015330	2004-01-02	3.7	Ae
USGS	04015330	2004-01-03	3.6	Ae
USGS	04015330	2004-01-04	3.5	Ae
USGS	04015330	2004-01-05	3.4	Ae
USGS	04015330	2004-01-06	3.3	Ae
USGS	04015330	2004-01-07	3.2	Ae
USGS	04015330	2004-01-08	3.2	Ae
USGS	04015330	2004-01-09	3.2	Ae
USGS	04015330	2004-01-10	3.2	Ae
USGS	04015330	2004-01-11	3.2	Ae
USGS	04015330	2004-01-12	3.1	Ae
USGS	04015330	2004-01-13	3.1	Ae
USGS	04015330	2004-01-14	3.1	Ae
USGS	04015330	2004-01-15	3.1	Ae
USGS	04015330	2004-01-16	3.1	Ae
USGS	04015330	2004-01-17	3.0	Ae
USGS	04015330	2004-01-18	3.0	Ae
USGS	04015330	2004-01-19	3.0	Ae
USGS	04015330	2004-01-20	3.1	Ae
USGS	04015330	2004-01-21	3.1	Ae
USGS	04015330	2004-01-22	3.1	Ae
USGS	04015330	2004-01-23	3.1	Ae
USGS	04015330	2004-01-24	3.1	Ae
USGS	04015330	2004-01-25	3.1	Ae
USGS	04015330	2004-01-26	3.1	Ae
USGS	04015330	2004-01-27	3.1	Ae
USGS	04015330	2004-01-28	3.1	Ae
USGS	04015330	2004-01-29	3.1	Ae
USGS	04015330	2004-01-30	3.1	Ae
USGS	04015330	2004-01-31	3.2	Ae
USGS	04015330	2004-02-01	3.2	Ae
USGS	04015330	2004-02-02	3.2	Ae
USGS	04015330	2004-02-03	3.2	Ae
USGS	04015330	2004-02-04	3.2	Ae
USGS	04015330	2004-02-05	3.2	Ae
USGS	04015330	2004-02-06	3.2	Ae
USGS	04015330	2004-02-07	3.2	Ae
USGS	04015330	2004-02-08	3.2	Ae
USGS	04015330	2004-02-09	3.3	Ae
USGS	04015330	2004-02-10	3.3	Ae
USGS	04015330	2004-02-11	3.3	Ae
USGS	04015330	2004-02-12	3.4	Ae
USGS	04015330	2004-02-13	3.5	Ae
USGS	04015330	2004-02-14	3.6	Ae
USGS	04015330	2004-02-15	3.8	Ae
USGS	04015330	2004-02-16	4.0	Ae
USGS	04015330	2004-02-17	4.2	Ae
USGS	04015330	2004-02-18	4.5	Ae
USGS	04015330	2004-02-19	4.9	Ae
USGS	04015330	2004-02-20	5.4	Ae
USGS	04015330	2004-02-21	6.2	Ae
USGS	04015330	2004-02-22	6.8	Ae
USGS	04015330	2004-02-23	7.5	Ae
USGS	04015330	2004-02-24	8.2	Ae
USGS	04015330	2004-02-25	8.7	Ae
USGS	04015330	2004-02-26	9.1	Ae
USGS	04015330	2004-02-27	9.3	Ae
USGS	04015330	2004-02-28	9.4	Ae
USGS	04015330	2004-02-29	9.4	Ae
USGS	04015330	2004-03-01	9.4	Ae
USGS	04015330	2004-03-02	9.4	Ae
USGS	04015330	2004-03-03	9.4	Ae
USGS	04015330	2004-03-04	9.4	Ae
USGS	04015330	2004-03-05	9.4	Ae
USGS	04015330	2004-03-06	9.5	Ae
USGS	04015330	2004-03-07	9.6	Ae
USGS	04015330	2004-03-08	9.6	Ae
USGS	04015330	2004-03-09	9.6	Ae
USGS	04015330	2004-03-10	9.6	Ae
USGS	04015330	2004-03-11	9.6	Ae
USGS	04015330	2004-03-12	9.6	Ae
USGS	04015330	2004-03-13	9.7	Ae
USGS	04015330	2004-03-14	9.8	Ae
USGS	04015330	2004-03-15	9.9	Ae
USGS	04015330	2004-03-16	10	Ae
USGS	04015330	2004-03-17	10	Ae
USGS	04015330	2004-03-18	10	Ae
USGS	04015330	2004-03-19	10	Ae
USGS	04015330	2004-03-20	11	Ae
USGS	04015330	2004-03-21	11	Ae
USGS	04015330	2004-03-22	11	Ae
USGS	04015330	2004-03-23	11	Ae
USGS	04015330	2004-03-24	12	Ae
USGS	04015330	2004-03-25	13	Ae
USGS	04015330	2004-03-26	16	Ae
USGS	04015330	2004-03-27	27	Ae
USGS	04015330	2004-03-28	50	Ae
USGS	04015330	2004-03-29	100	Ae
USGS	04015330	2004-03-30	86	Ae
USGS	04015330	2004-03-31	75	Ae
USGS	04015330	2004-04-01	66	Ae
USGS	04015330	2004-04-02	62	Ae
USGS	04015330	2004-04-03	80	Ae
USGS	04015330	2004-04-04	120	Ae
USGS	04015330	2004-04-05	220	Ae
USGS	04015330	2004-04-06	526	A
USGS	04015330	2004-04-07	691	A
USGS	04015330	2004-04-08	890	A
USGS	04015330	2004-04-09	644	A
USGS	04015330	2004-04-10	440	A
USGS	04015330	2004-04-11	287	A
USGS	04015330	2004-04-12	207	A
USGS	04015330	2004-04-13	174	A
USGS	04015330	2004-04-14	201	A
USGS	04015330	2004-04-15	192	A
USGS	04015330	2004-04-16	221	A
USGS	04015330	2004-04-17	240	A
USGS	04015330	2004-04-18	486	A
USGS	04015330	2004-04-19	824	A
USGS	04015330	2004-04-20	498	A
USGS	04015330	2004-04-21	331	A
USGS	04015330	2004-04-22	243	A
USGS	04015330	2004-04-23	177	A
USGS	04015330	2004-04-24	140	A
USGS	04015330	2004-04-25	163	A
USGS	04015330	2004-04-26	190	A
USGS	04015330	2004-04-27	144	A
USGS	04015330	2004-04-28	122	A
USGS	04015330	2004-04-29	106	A
USGS	04015330	2004-04-30	92	A
USGS	04015330	2004-05-01	80	A
USGS	04015330	2004-05-02	71	A
USGS	04015330	2004-05-03	62	A
USGS	04015330	2004-05-04	58	A
USGS	04015330	2004-05-05	54	A
USGS	04015330	2004-05-06	50	A
USGS	04015330	2004-05-07	45	A
USGS	04015330	2004-05-08	42	A
USGS	04015330	2004-05-09	40	A
USGS	04015330	2004-05-10	52	A
USGS	04015330	2004-05-11	50	A
USGS	04015330	2004-05-12	47	A
USGS	04015330	2004-05-13	49	A
USGS	04015330	2004-05-14	54	A
USGS	04015330	2004-05-15	48	A
USGS	04015330	2004-05-16	42	A
USGS	04015330	2004-05-17	316	A
USGS	04015330	2004-05-18	306	A
USGS	04015330	2004-05-19	174	A
USGS	04015330	2004-05-20	262	A
USGS	04015330	2004-05-21	171	A
USGS	04015330	2004-05-22	125	A
USGS	04015330	2004-05-23	125	A
USGS	04015330	2004-05-24	105	A
USGS	04015330	2004-05-25	121	A
USGS	04015330	2004-05-26	123	A
USGS	04015330	2004-05-27	96	A
USGS	04015330	2004-05-28	80	A
USGS	04015330	2004-05-29	68	A
USGS	04015330	2004-05-30	511	A
USGS	04015330	2004-05-31	1450	A
USGS	04015330	2004-06-01	669	A
USGS	04015330	2004-06-02	356	A
USGS	04015330	2004-06-03	202	A
USGS	04015330	2004-06-04	136	A
USGS	04015330	2004-06-05	117	A
USGS	04015330	2004-06-06	137	A
USGS	04015330	2004-06-07	100	A
USGS	04015330	2004-06-08	298	A
USGS	04015330	2004-06-09	175	A
USGS	04015330	2004-06-10	109	A
USGS	04015330	2004-06-11	79	A
USGS	04015330	2004-06-12	158	A
USGS	04015330	2004-06-13	112	A
USGS	04015330	2004-06-14	79	A
USGS	04015330	2004-06-15	56	A
USGS	04015330	2004-06-16	46	A
USGS	04015330	2004-06-17	38	A
USGS	04015330	2004-06-18	31	A
USGS	04015330	2004-06-19	25	A
USGS	04015330	2004-06-20	21	A
USGS	04015330	2004-06-21	18	A
USGS	04015330	2004-06-22	17	A
USGS	04015330	2004-06-23	15	A
USGS	04015330	2004-06-24	16	A
USGS	04015330	2004-06-25	15	A
USGS	04015330	2004-06-26	14	A
USGS	04015330	2004-06-27	13	A
USGS	04015330	2004-06-28	12	A
USGS	04015330	2004-06-29	11	A
USGS	04015330	2004-06-30	11	A
USGS	04015330	2004-07-01	9.8	A
USGS	04015330	2004-07-02	8.9	A
USGS	04015330	2004-07-03	8.4	A
USGS	04015330	2004-07-04	9.8	A
USGS	04015330	2004-07-05	30	A
USGS	04015330	2004-07-06	27	A
USGS	04015330	2004-07-07	19	A
USGS	04015330	2004-07-08	15	A
USGS	04015330	2004-07-09	12	A
USGS	04015330	2004-07-10	10	A
USGS	04015330	2004-07-11	37	A
USGS	04015330	2004-07-12	61	A
USGS	04015330	2004-07-13	34	A
USGS	04015330	2004-07-14	20	A
USGS	04015330	2004-07-15	13	A
USGS	04015330	2004-07-16	11	A
USGS	04015330	2004-07-17	9.6	A
USGS	04015330	2004-07-18	8.2	A
USGS	04015330	2004-07-19	7.6	A
USGS	04015330	2004-07-20	7.3	A
USGS	04015330	2004-07-21	7.1	A
USGS	04015330	2004-07-22	6.3	A
USGS	04015330	2004-07-23	5.6	A
USGS	04015330	2004-07-24	5.2	A
USGS	04015330	2004-07-25	4.9	A
USGS	04015330	2004-07-26	4.8	A
USGS	04015330	2004-07-27	4.6	A
USGS	04015330	2004-07-28	6.9	A
USGS	04015330	2004-07-29	9.6	A
USGS	04015330	2004-07-30	11	A
USGS	04015330	2004-07-31	10	A
USGS	04015330	2004-08-01	9.1	A
USGS	04015330	2004-08-02	7.2	A
USGS	04015330	2004-08-03	5.8	A
USGS	04015330	2004-08-04	5.2	A
USGS	04015330	2004-08-05	4.6	A
USGS	04015330	2004-08-06	4.5	A
USGS	04015330	2004-08-07	4.4	A
USGS	04015330	2004-08-08	5.5	A
USGS	04015330	2004-08-09	13	A
USGS	04015330	2004-08-10	13	A
USGS	04015330	2004-08-11	20	A
USGS	04015330	2004-08-12	30	A
USGS	04015330	2004-08-13	16	A
USGS	04015330	2004-08-14	10	A
USGS	04015330	2004-08-15	8.2	A
USGS	04015330	2004-08-16	7.1	A
USGS	04015330	2004-08-17	6.5	A
USGS	04015330	2004-08-18	6.2	A
USGS	04015330	2004-08-19	5.4	A
USGS	04015330	2004-08-20	5.0	A
USGS	04015330	2004-08-21	4.6	A
USGS	04015330	2004-08-22	5.2	A
USGS	04015330	2004-08-23	6.0	A
USGS	04015330	2004-08-24	5.9	A
USGS	04015330	2004-08-25	5.5	A
USGS	04015330	2004-08-26	11	A
USGS	04015330	2004-08-27	15	A
USGS	04015330	2004-08-28	10	A
USGS	04015330	2004-08-29	7.9	A
USGS	04015330	2004-08-30	7.0	A
USGS	04015330	2004-08-31	6.6	A
USGS	04015330	2004-09-01	6.8	A
USGS	04015330	2004-09-02	7.2	A
USGS	04015330	2004-09-03	6.4	A
USGS	04015330	2004-09-04	5.9	A
USGS	04015330	2004-09-05	8.6	A
USGS	04015330	2004-09-06	117	A
USGS	04015330	2004-09-07	76	A
USGS	04015330	2004-09-08	42	A
USGS	04015330	2004-09-09	26	A
USGS	04015330	2004-09-10	18	A
USGS	04015330	2004-09-11	14	A
USGS	04015330	2004-09-12	11	A
USGS	04015330	2004-09-13	9.8	A
USGS	04015330	2004-09-14	9.9	A
USGS	04015330	2004-09-15	24	A
USGS	04015330	2004-09-16	128	A
USGS	04015330	2004-09-17	68	A
USGS	04015330	2004-09-18	47	A
